資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比
"1110125","5345","天揚","N/A","0.00000000","0.00","3.15"
"1110125","5347","世界","22.94","3.50000000","2.52","7.19"
"1110125","5348","系通","N/A","0.00000000","0.00","1.67"
"1110125","5351","鈺創","34.49","0.00000000","0.00","5.17"
"1110125","5353","台林","23.37","0.85000000","4.09","1.39"
"1110125","5355","佳總","N/A","0.00000000","0.00","0.83"
"1110125","5356","協益","34.35","2.20000000","8.32","0.63"
"1110125","5364","力麗店","N/A","0.00000000","0.00","1.75"
"1110125","5371","中光電","14.90","4.00000000","5.46","1.37"
"1110125","5381","合正","206.67","0.00000000","0.00","1.65"
"1110125","5383","金利","N/A","0.00000000","0.00","5.05"
"1110125","5386","青雲","21.11","0.80000000","1.90","2.55"
"1110125","5392","能率","60.37","0.30178445","1.22","0.81"
"1110125","5398","慕康生醫","32.21","0.25000000","1.27","1.68"
"1110125","5403","中菲","11.56","3.99999998","5.87","2.83"
"1110125","5410","國眾","11.85","1.69229229","6.77","1.77"
"1110125","5425","台半","22.10","1.50000000","2.23","2.50"
"1110125","5426","振發","N/A","0.00000000","0.00","0.83"
"1110125","5432","新門","N/A","0.00000000","0.00","2.14"
"1110125","5438","東友","22.21","0.10000000","0.66","0.75"
"1110125","5439","高技","13.02","2.50000000","4.57","2.26"
"1110125","5443","均豪","15.48","1.00000000","3.25","2.14"
"1110125","5450","南良","15.92","0.00000000","0.00","1.75"
"1110125","5452","佶優","12.24","0.60000000","3.01","1.49"
"1110125","5455","昇益","N/A","0.00000000","0.00","3.48"
"1110125","5457","宣德","14.47","2.10060781","2.89","3.59"
"1110125","5460","同協","249.00","0.10000000","0.80","0.98"
"1110125","5464","霖宏","4.56","0.00000000","0.00","1.17"
"1110125","5465","富驊","13.18","1.15000000","7.40","1.10"
"1110125","5468","凱鈺","N/A","0.00000000","0.00","2.65"
"1110125","5474","聰泰","8.77","10.00000000","9.95","2.60"
"1110125","5475","德宏","8.79","0.00000000","0.00","3.66"
"1110125","5478","智冠","13.72","6.00000000","6.67","1.77"
"1110125","5481","新華","8.31","0.40000000","3.07","0.66"
"1110125","5483","中美晶","17.39","9.00000000","4.24","4.30"
